bca_id,building,award,fy,gfa,address,postal_code,district,developer,architect,structural_eng,me_eng,land_cons,qs,main_contractor,fac_mgt,esd_cons,esco_cons,green_cons,description,green_features,building_use
799B4F1B-A16E-4F38-84A2-F579864E95E9,orchardgateway@emerald,Green Mark Gold,FY18,9733,"218 Orchard Road, Singapore 238851",238851,9,218 Orchard Private Limited,,,,,,,,-,-,-,-,['-'],Commercial
4433B04E-2BB7-4B81-8B69-16646406558B,Samwoh Smart Hub,Green Mark Platinum (Positive Energy),FY19,28987.1,Kranji Way,728661,25,Samwoh Corporation Pte Ltd,AC Consortium Pte Ltd,Engineers Alliance Pte Ltd,BELMACS Pte Ltd,Earthscape Concepts Pte Ltd,,Hua Siah Construction Pte Ltd,,ZEB-Technology Pte Ltd,-,-,"Samwoh Hub is an industrial development with a single storey workshop and 4-storey office building.  The office building will have its own training facilities to support the business function.  Complementary facilities such as indoor and outdoor breakout areas, gym and function rooms are designed allow employees and invited guests to enjoy recreational activities during or after work.","['Facility Management System is enhanced through the adoption of 6-dimensional BIM', 'Glazing is minimized in the East and West facing facade', 'Energy efficient measures has been adopted in the building to achieve an overall energy savings of 47.55% from baseline', 'Solar PV is provided with the capacity to replace at least 110% of total building energy consumption', 'EMS/iBMS system is enhanced with smart AI features that will ensure building performs optimally to corresponding demand']",Office
4433B04E-2BB7-4B81-8B69-16646406558B,Samwoh Smart Hub,Green Mark Platinum (Positive Energy),FY19,28987.1,Kranji Way,728661,25,Samwoh Corporation Pte Ltd,AC Consortium Pte Ltd,Engineers Alliance Pte Ltd,BELMACS Pte Ltd,Earthscape Concepts Pte Ltd,,Hua Siah Construction Pte Ltd,,ZEB-Technology Pte Ltd,-,-,"Samwoh Hub is an industrial development with a single storey workshop and 4-storey office building.  The office building will have its own training facilities to support the business function.  Complementary facilities such as indoor and outdoor breakout areas, gym and function rooms are designed allow employees and invited guests to enjoy recreational activities during or after work.","['Facility Management System is enhanced through the adoption of 6-dimensional BIM', 'Glazing is minimized in the East and West facing facade', 'Energy efficient measures has been adopted in the building to achieve an overall energy savings of 47.55% from baseline', 'Solar PV is provided with the capacity to replace at least 110% of total building energy consumption', 'EMS/iBMS system is enhanced with smart AI features that will ensure building performs optimally to corresponding demand']",Institutional (School)
81f82415-a6a6-45ef-bec0-b6fbb4ce0d8e,SDE4,Green Mark Platinum (Positive Energy),FY22,8588.37,"8 Architecture Drive, Singapore 117356",117356,5,National University of Singapore,,,,,,,NUS Campus Asset Management,-,-,-,"SDE 4 is a purpose-built net-zero energy building located within NUS Kent Ridge Campus. The 6 storey building with a GFA of 8588sqm consists of various functional space type such as Design studios, workshops, research Centre etc. The flexible teaching spaces promotes a variety of uses and collaboration between students. An open and porous architecture enhanced interaction with the rest of the campus by creating visual and spatial connections with the outdoor",['-'],Office
81f82415-a6a6-45ef-bec0-b6fbb4ce0d8e,SDE4,Green Mark Platinum (Positive Energy),FY22,8588.37,"8 Architecture Drive, Singapore 117356",117356,5,National University of Singapore,,,,,,,NUS Campus Asset Management,-,-,-,"SDE 4 is a purpose-built net-zero energy building located within NUS Kent Ridge Campus. The 6 storey building with a GFA of 8588sqm consists of various functional space type such as Design studios, workshops, research Centre etc. The flexible teaching spaces promotes a variety of uses and collaboration between students. An open and porous architecture enhanced interaction with the rest of the campus by creating visual and spatial connections with the outdoor",['-'],Institutional (School)
D7AAAD28-2B58-4133-B99D-3702E299377F,Choa Chu Kang Columbarium,Green Mark Platinum (Positive Energy),FY20,41898.97,"51 Chinese Cemetery Path 4, Singapore 698932",698932,24,National Environment Agency,,,,,,,Fonda Global Engineering Pte Ltd,Building System & Diagnostics Pte Ltd,-,-,"Located along Choa Chu Kang Road, within the Choa Chu Kang Cemetery Complex, the Choa Chu Kang Columbarium houses some 147,000 niches spread over 18 four-storey blocks. It has a clean, quiet and beautifully landscaped environment and lifts that service every storey of the block","['Good natural ventilation with design of building layout that utilises prevailing wind conditions to achieve adequate cross ventilation', 'Efficient lightings for common areas', 'Awarded PUB Water Efficient building certificate', 'Implementation of recycling program, with provision of recycling bins and sustainability awareness messages within the vicinity', 'Solar PV generates up to 189,216 kWh/yr', 'Installation of solar panels to achieve 100% replacement']",Institutional
D7AAAD28-2B58-4133-B99D-3702E299377F,Choa Chu Kang Columbarium,Green Mark Platinum (Positive Energy),FY20,41898.97,"51 Chinese Cemetery Path 4, Singapore 698932",698932,24,National Environment Agency,,,,,,,Fonda Global Engineering Pte Ltd,Building System & Diagnostics Pte Ltd,-,-,"Located along Choa Chu Kang Road, within the Choa Chu Kang Cemetery Complex, the Choa Chu Kang Columbarium houses some 147,000 niches spread over 18 four-storey blocks. It has a clean, quiet and beautifully landscaped environment and lifts that service every storey of the block","['Good natural ventilation with design of building layout that utilises prevailing wind conditions to achieve adequate cross ventilation', 'Efficient lightings for common areas', 'Awarded PUB Water Efficient building certificate', 'Implementation of recycling program, with provision of recycling bins and sustainability awareness messages within the vicinity', 'Solar PV generates up to 189,216 kWh/yr', 'Installation of solar panels to achieve 100% replacement']",Institutional (School)
fe72647d-5d37-49d0-9073-efbb093cd449,Keppel Infrastructure - Changi,Green Mark Platinum (Positive Energy),FY22,3909.21,48 Changi Business Park Central 2,486067,16,Keppel DHCS Pte Ltd,,,,,,,Keppel DHCS Pte Ltd,Building System & Diagnostics Pte Ltd,-,-,Keppel Infrastructure - Changi is a two-storey office building located at Changi Business Park which is served by District Cooling System.,['-'],Office
fe72647d-5d37-49d0-9073-efbb093cd449,Keppel Infrastructure - Changi,Green Mark Platinum (Positive Energy),FY22,3909.21,48 Changi Business Park Central 2,486067,16,Keppel DHCS Pte Ltd,,,,,,,Keppel DHCS Pte Ltd,Building System & Diagnostics Pte Ltd,-,-,Keppel Infrastructure - Changi is a two-storey office building located at Changi Business Park which is served by District Cooling System.,['-'],Institutional (School)
9c12cbbb-7c0c-45cf-8091-8fb2789018dd,NUS Frontier (Re-Certification),Green Mark Platinum (Zero Energy),FY21,4801,"6 Science Drive 2, 117546",117546,5,National University of Singapore,,,,,,,NUS Office of Facilities Management,NUS Office of Estate Development,-,-,"Frontier is a two storey institutional building located along Science Drive 2 at the Kent Ridge campus of NUS. It houses two canteens and various student lounges, meeting and conference rooms as well as study areas.","['Energy efficient water cooled chilled water plant', 'Naturally ventilated canteen dining area', 'Energy efficient LED lighting for all areas except mechanical spaces which use T5 lighting achieving over 56% in energy savings', 'Exclusive use of WELS excellent products for all water fittings', 'Widespread use of SGLS and SGBC certified green products', 'Extensive use of green concrete including recycled concrete aggregates and washed copper slag', 'Comprehensive campus-wide recycling program']",Office
95D9D64F-CC26-487E-B501-5B265CFD1C6E,Administration Building,Green Mark Platinum (Zero Energy),FY16,5716,"50 Nanyang Avenue, Singapore 639798",639798,22,Nanyang Technological University,,,Beca Carter Hollings & Ferner (S.E.Asia) Pte Ltd,,,,Nanyang Technological University,Beca Carter Hollings & Ferner (S.E.Asia) Pte Ltd,-,-,"The Administration Building of Nanyang Technological University is a 6-storey building located in the middle of North and South Spine. The facility of 5,716 m2 GFA contains offices pertaining to the various administrative needs of both students and staff.","['Efficient Water Cooled Chiller Plant', 'Extensive use of LED lighting', 'Certified PUB Water Efficient Buildings', 'Naturally ventilated car park', 'Motion sensors at all toilets and staircase', 'Water sub-metering linked to BMS for leak detection system', 'Lifts with AC VVVF and sleep mode']",Institutional
C6D70E5B-14B2-41BC-B855-94963A51AFDB,Block N1.1,Green Mark Platinum (Zero Energy),FY20,6426,50 Nanyang Ave,639798,22,Nanyang Technological University,,,,,,,SMM Pte Ltd,SMM Pte Ltd,-,-,"Block N1.1 is a 3 storey building which sits between block N3 and N4. It comprises of offices at level B3, and a 2 storey non-aircon protective engineering lab.","['Efficient water cooled plant', 'Extensive use of LED lighting', 'Certified PUB Water Efficient Buildings', 'Naturally ventilated carpark', 'Motion sensors at all toilets and staircases', 'Water sub-metering linked to BMS for leak detection system', 'Auto-tube cleaning system']",Institutional
57DF974F-91F9-40C7-9D3F-EA96400D9747,SMU-X A-South 2,Green Mark Platinum (Zero Energy),FY19,8775,"40 Stamford Road, Singapore 178908",178908,6,Singapore Management University,MKPL Architects Pte Ltd,Meinhardt (Singapore) Pte Ltd,Meinhardt (Singapore) Pte Ltd,Salad Dressing,,Lian Ho Lee Construction Pte Ltd,,Web Earth Pte Ltd,-,-,An institutional building to support teaching and learning with 24/7 student hub. AS2 forms part of the city campus and it is designed to intricately connect to the city fabric.,"['Highly insulated and self-shaded façade with low-E double glazing', 'Chiller plant efficiency of 0.533 kW/RT', 'Extensive use of recycled cement and aggregates and recycling of demolition waste', 'Innovative Enhanced Passive Displacement Cooling (EPDC)', 'SMU Smart Energy Control System', 'Dedicated sub-metering for each energy end use', 'Passively design self-shading façade and naturally ventilated circulation spaces on east and west facades']",Institutional
57DF974F-91F9-40C7-9D3F-EA96400D9747,SMU-X A-South 2,Green Mark Platinum (Zero Energy),FY19,8775,"40 Stamford Road, Singapore 178908",178908,6,Singapore Management University,MKPL Architects Pte Ltd,Meinhardt (Singapore) Pte Ltd,Meinhardt (Singapore) Pte Ltd,Salad Dressing,,Lian Ho Lee Construction Pte Ltd,,Web Earth Pte Ltd,-,-,An institutional building to support teaching and learning with 24/7 student hub. AS2 forms part of the city campus and it is designed to intricately connect to the city fabric.,"['Highly insulated and self-shaded façade with low-E double glazing', 'Chiller plant efficiency of 0.533 kW/RT', 'Extensive use of recycled cement and aggregates and recycling of demolition waste', 'Innovative Enhanced Passive Displacement Cooling (EPDC)', 'SMU Smart Energy Control System', 'Dedicated sub-metering for each energy end use', 'Passively design self-shading façade and naturally ventilated circulation spaces on east and west facades']",Institutional (School)
