bca_id,building,award,fy,gfa,address,postal_code,district,developer,architect,structural_eng,me_eng,land_cons,qs,main_contractor,fac_mgt,esd_cons,esco_cons,green_cons,description,green_features,building_use,building_use_manual,main_category,main_category_grouped
4433B04E-2BB7-4B81-8B69-16646406558B,Samwoh Smart Hub,Green Mark Platinum (Positive Energy),FY19,28987.1,Kranji Way,728661,25,Samwoh Corporation Pte Ltd,AC Consortium Pte Ltd,Engineers Alliance Pte Ltd,BELMACS Pte Ltd,Earthscape Concepts Pte Ltd,,Hua Siah Construction Pte Ltd,,ZEB-Technology Pte Ltd,-,-,"Samwoh Hub is an industrial development with a single storey workshop and 4-storey office building.  The office building will have its own training facilities to support the business function.  Complementary facilities such as indoor and outdoor breakout areas, gym and function rooms are designed allow employees and invited guests to enjoy recreational activities during or after work.","['Facility Management System is enhanced through the adoption of 6-dimensional BIM', 'Glazing is minimized in the East and West facing facade', 'Energy efficient measures has been adopted in the building to achieve an overall energy savings of 47.55% from baseline', 'Solar PV is provided with the capacity to replace at least 110% of total building energy consumption', 'EMS/iBMS system is enhanced with smart AI features that will ensure building performs optimally to corresponding demand']",Commercial,"['recreational/culture', 'office/commercial', 'industrial', 'government/security']","['smart & healthy building', 'building energy performance', 'building energy performance']","['building energy performance', 'smart & healthy building']"
4433B04E-2BB7-4B81-8B69-16646406558B,Samwoh Smart Hub,Green Mark Platinum (Positive Energy),FY19,28987.1,Kranji Way,728661,25,Samwoh Corporation Pte Ltd,AC Consortium Pte Ltd,Engineers Alliance Pte Ltd,BELMACS Pte Ltd,Earthscape Concepts Pte Ltd,,Hua Siah Construction Pte Ltd,,ZEB-Technology Pte Ltd,-,-,"Samwoh Hub is an industrial development with a single storey workshop and 4-storey office building.  The office building will have its own training facilities to support the business function.  Complementary facilities such as indoor and outdoor breakout areas, gym and function rooms are designed allow employees and invited guests to enjoy recreational activities during or after work.","['Facility Management System is enhanced through the adoption of 6-dimensional BIM', 'Glazing is minimized in the East and West facing facade', 'Energy efficient measures has been adopted in the building to achieve an overall energy savings of 47.55% from baseline', 'Solar PV is provided with the capacity to replace at least 110% of total building energy consumption', 'EMS/iBMS system is enhanced with smart AI features that will ensure building performs optimally to corresponding demand']",Institutional,"['recreational/culture', 'office/commercial', 'industrial', 'government/security']","['smart & healthy building', 'building energy performance', 'building energy performance']","['building energy performance', 'smart & healthy building']"
D7AAAD28-2B58-4133-B99D-3702E299377F,Choa Chu Kang Columbarium,Green Mark Platinum (Positive Energy),FY20,41898.97,"51 Chinese Cemetery Path 4, Singapore 698932",698932,24,National Environment Agency,,,,,,,Fonda Global Engineering Pte Ltd,Building System & Diagnostics Pte Ltd,-,-,"Located along Choa Chu Kang Road, within the Choa Chu Kang Cemetery Complex, the Choa Chu Kang Columbarium houses some 147,000 niches spread over 18 four-storey blocks. It has a clean, quiet and beautifully landscaped environment and lifts that service every storey of the block","['Good natural ventilation with design of building layout that utilises prevailing wind conditions to achieve adequate cross ventilation', 'Efficient lightings for common areas', 'Awarded PUB Water Efficient building certificate', 'Implementation of recycling program, with provision of recycling bins and sustainability awareness messages within the vicinity', 'Solar PV generates up to 189,216 kWh/yr', 'Installation of solar panels to achieve 100% replacement']",Institutional,['office/commercial'],"['building energy performance', 'building energy performance', 'building energy performance', 'resource stewardship', 'resource stewardship', 'resource stewardship', 'resource stewardship', 'building energy performance', 'building energy performance', 'building energy performance']","['building energy performance', 'resource stewardship']"
D7AAAD28-2B58-4133-B99D-3702E299377F,Choa Chu Kang Columbarium,Green Mark Platinum (Positive Energy),FY20,41898.97,"51 Chinese Cemetery Path 4, Singapore 698932",698932,24,National Environment Agency,,,,,,,Fonda Global Engineering Pte Ltd,Building System & Diagnostics Pte Ltd,-,-,"Located along Choa Chu Kang Road, within the Choa Chu Kang Cemetery Complex, the Choa Chu Kang Columbarium houses some 147,000 niches spread over 18 four-storey blocks. It has a clean, quiet and beautifully landscaped environment and lifts that service every storey of the block","['Good natural ventilation with design of building layout that utilises prevailing wind conditions to achieve adequate cross ventilation', 'Efficient lightings for common areas', 'Awarded PUB Water Efficient building certificate', 'Implementation of recycling program, with provision of recycling bins and sustainability awareness messages within the vicinity', 'Solar PV generates up to 189,216 kWh/yr', 'Installation of solar panels to achieve 100% replacement']",Institutional,['office/commercial'],"['building energy performance', 'building energy performance', 'building energy performance', 'resource stewardship', 'resource stewardship', 'resource stewardship', 'resource stewardship', 'building energy performance', 'building energy performance', 'building energy performance']","['building energy performance', 'resource stewardship']"
9c12cbbb-7c0c-45cf-8091-8fb2789018dd,NUS Frontier (Re-Certification),Green Mark Platinum (Zero Energy),FY21,4801,"6 Science Drive 2, 117546",117546,5,National University of Singapore,,,,,,,NUS Office of Facilities Management,NUS Office of Estate Development,-,-,"Frontier is a two storey institutional building located along Science Drive 2 at the Kent Ridge campus of NUS. It houses two canteens and various student lounges, meeting and conference rooms as well as study areas.","['Energy efficient water cooled chilled water plant', 'Naturally ventilated canteen dining area', 'Energy efficient LED lighting for all areas except mechanical spaces which use T5 lighting achieving over 56% in energy savings', 'Exclusive use of WELS excellent products for all water fittings', 'Widespread use of SGLS and SGBC certified green products', 'Extensive use of green concrete including recycled concrete aggregates and washed copper slag', 'Comprehensive campus-wide recycling program']",Commercial,['educational/research'],"['building energy performance', 'smart & healthy building', 'building energy performance', 'smart & healthy building', 'resource stewardship', 'resource stewardship', 'sustainable management', 'sustainable management', 'resource stewardship', 'sustainable management', 'sustainable management', 'smart & healthy building', 'resource stewardship', 'resource stewardship']","['building energy performance', 'sustainable management', 'smart & healthy building', 'resource stewardship']"
95D9D64F-CC26-487E-B501-5B265CFD1C6E,Administration Building,Green Mark Platinum (Zero Energy),FY16,5716,"50 Nanyang Avenue, Singapore 639798",639798,22,Nanyang Technological University,,,Beca Carter Hollings & Ferner (S.E.Asia) Pte Ltd,,,,Nanyang Technological University,Beca Carter Hollings & Ferner (S.E.Asia) Pte Ltd,-,-,"The Administration Building of Nanyang Technological University is a 6-storey building located in the middle of North and South Spine. The facility of 5,716 m2 GFA contains offices pertaining to the various administrative needs of both students and staff.","['Efficient Water Cooled Chiller Plant', 'Extensive use of LED lighting', 'Certified PUB Water Efficient Buildings', 'Naturally ventilated car park', 'Motion sensors at all toilets and staircase', 'Water sub-metering linked to BMS for leak detection system', 'Lifts with AC VVVF and sleep mode']",Institutional,"['office/commercial', 'educational/research']","['building energy performance', 'smart & healthy building', 'smart & healthy building', 'resource stewardship', 'resource stewardship', 'building energy performance', 'smart & healthy building', 'resource stewardship', 'resource stewardship', 'smart & healthy building', 'building energy performance']","['building energy performance', 'smart & healthy building', 'resource stewardship']"
C6D70E5B-14B2-41BC-B855-94963A51AFDB,Block N1.1,Green Mark Platinum (Zero Energy),FY20,6426,50 Nanyang Ave,639798,22,Nanyang Technological University,,,,,,,SMM Pte Ltd,SMM Pte Ltd,-,-,"Block N1.1 is a 3 storey building which sits between block N3 and N4. It comprises of offices at level B3, and a 2 storey non-aircon protective engineering lab.","['Efficient water cooled plant', 'Extensive use of LED lighting', 'Certified PUB Water Efficient Buildings', 'Naturally ventilated carpark', 'Motion sensors at all toilets and staircases', 'Water sub-metering linked to BMS for leak detection system', 'Auto-tube cleaning system']",Institutional,['office/commercial'],"['building energy performance', 'smart & healthy building', 'smart & healthy building', 'resource stewardship', 'resource stewardship', 'building energy performance', 'smart & healthy building', 'resource stewardship', 'resource stewardship', 'smart & healthy building']","['building energy performance', 'smart & healthy building', 'resource stewardship']"
57DF974F-91F9-40C7-9D3F-EA96400D9747,SMU-X A-South 2,Green Mark Platinum (Zero Energy),FY19,8775,"40 Stamford Road, Singapore 178908",178908,6,Singapore Management University,MKPL Architects Pte Ltd,Meinhardt (Singapore) Pte Ltd,Meinhardt (Singapore) Pte Ltd,Salad Dressing,,Lian Ho Lee Construction Pte Ltd,,Web Earth Pte Ltd,-,-,An institutional building to support teaching and learning with 24/7 student hub. AS2 forms part of the city campus and it is designed to intricately connect to the city fabric.,"['Highly insulated and self-shaded façade with low-E double glazing', 'Chiller plant efficiency of 0.533 kW/RT', 'Extensive use of recycled cement and aggregates and recycling of demolition waste', 'Innovative Enhanced Passive Displacement Cooling (EPDC)', 'SMU Smart Energy Control System', 'Dedicated sub-metering for each energy end use', 'Passively design self-shading façade and naturally ventilated circulation spaces on east and west facades']",Institutional,['educational/research'],"['resource stewardship', 'resource stewardship', 'resource stewardship', 'smart & healthy building', 'resource stewardship', 'smart & healthy building', 'building energy performance', 'building energy performance']","['resource stewardship', 'building energy performance', 'smart & healthy building']"
57DF974F-91F9-40C7-9D3F-EA96400D9747,SMU-X A-South 2,Green Mark Platinum (Zero Energy),FY19,8775,"40 Stamford Road, Singapore 178908",178908,6,Singapore Management University,MKPL Architects Pte Ltd,Meinhardt (Singapore) Pte Ltd,Meinhardt (Singapore) Pte Ltd,Salad Dressing,,Lian Ho Lee Construction Pte Ltd,,Web Earth Pte Ltd,-,-,An institutional building to support teaching and learning with 24/7 student hub. AS2 forms part of the city campus and it is designed to intricately connect to the city fabric.,"['Highly insulated and self-shaded façade with low-E double glazing', 'Chiller plant efficiency of 0.533 kW/RT', 'Extensive use of recycled cement and aggregates and recycling of demolition waste', 'Innovative Enhanced Passive Displacement Cooling (EPDC)', 'SMU Smart Energy Control System', 'Dedicated sub-metering for each energy end use', 'Passively design self-shading façade and naturally ventilated circulation spaces on east and west facades']",Institutional,['educational/research'],"['resource stewardship', 'resource stewardship', 'resource stewardship', 'smart & healthy building', 'resource stewardship', 'smart & healthy building', 'building energy performance', 'building energy performance']","['resource stewardship', 'building energy performance', 'smart & healthy building']"
6887F95E-8244-45E3-B884-830F0CF8041E,Wee Kim Wee School of Communication and Information,Green Mark Platinum (Zero Energy),FY19,9024.55,"31 Nanyang Link, Singapore 637718",637718,22,Nanyang Technological University,,,,,,,SMM Pte Ltd,SMM Pte Ltd,-,-,"The Wee Kim Wee School of Communication and Information (SCI) is a mixed development (Institutional and Offices), which was built in 1996 with a gross floor area of 9,024.55 square metres. The SCI building consists of five levels with a central open atrium. It has advanced laboratory facilities for audio, video, radio, television, print media etc.","['Efficient chiller plant system of 0.642 kW/ton', 'Measurement and verification system and heat balancing to monitor chiller plant efficiency', 'Variable speed drives for pumps and cooling towers', 'Energy efficient LED lighting for all areas', 'PUB Water Efficient Building', 'Provision of solar PV panels on the roof', 'Motion sensors for toilets and staircase']",Institutional,"['office/commercial', 'educational/research', 'mixed']","['building energy performance', 'resource stewardship', 'smart & healthy building', 'resource stewardship', 'resource stewardship', 'building energy performance', 'building energy performance', 'smart & healthy building']","['building energy performance', 'smart & healthy building', 'resource stewardship']"
